 n        a_n        b_n    x_(n+1)     f(a_n)    f(b_n)  f(x_(n+1))  delta=(b-a)/2^(n+1)
 0 -3.0000000 -2.0000000 -2.5000000 -0.9103832 0.7889789  -0.2015772            0.5000000
 1 -2.5000000 -2.0000000 -2.2500000 -0.2015772 0.7889789   0.3161950            0.2500000
 2 -2.5000000 -2.2500000 -2.3750000 -0.2015772 0.3161950   0.0554123            0.1250000
 3 -2.5000000 -2.3750000 -2.4375000 -0.2015772 0.0554123  -0.0745163            0.0625000
 4 -2.4375000 -2.3750000 -2.4062500 -0.0745163 0.0554123  -0.0097911            0.0312500
 5 -2.4062500 -2.3750000 -2.3906250 -0.0097911 0.0554123   0.0227658            0.0156250
 6 -2.4062500 -2.3906250 -2.3984375 -0.0097911 0.0227658   0.0064743            0.0078125
 7 -2.4062500 -2.3984375 -2.4023438 -0.0097911 0.0064743  -0.0016619            0.0039062
 8 -2.4023438 -2.3984375 -2.4003906 -0.0016619 0.0064743   0.0024053            0.0019531
 9 -2.4023438 -2.4003906 -2.4013672 -0.0016619 0.0024053   0.0003715            0.0009766
10 -2.4023438 -2.4013672 -2.4018555 -0.0016619 0.0003715  -0.0006453            0.0004883
11 -2.4018555 -2.4013672 -2.4016113 -0.0006453 0.0003715  -0.0001369            0.0002441
12 -2.4016113 -2.4013672 -2.4014893 -0.0001369 0.0003715   0.0001173            0.0001221
13 -2.4016113 -2.4014893 -2.4015503 -0.0001369 0.0001173  -0.0000098            0.0000610
14 -2.4015503 -2.4014893 -2.4015198 -0.0000098 0.0001173   0.0000537            0.0000305
15 -2.4015503 -2.4015198 -2.4015350 -0.0000098 0.0000537   0.0000219            0.0000153
16 -2.4015503 -2.4015350 -2.4015427 -0.0000098 0.0000219   0.0000061            0.0000076
17 -2.4015503 -2.4015427 -2.4015465 -0.0000098 0.0000061  -0.0000019            0.0000038
18 -2.4015465 -2.4015427 -2.4015446 -0.0000019 0.0000061   0.0000021            0.0000019
19 -2.4015465 -2.4015446 -2.4015455 -0.0000019 0.0000021   0.0000001            0.0000010
Giá trị nghiệm với 5 chữ số thập phân là: -2.40155
Sai số tương đối là: 5.95367431640625e-06
 n       a_n       b_n   x_(n+1)         f(a_n)        f(b_n)     f(x_(n+1))  delta=(b-a)/2^(n+1)
 0 2.0000000 3.0000000 2.5000000 -3.0685282e-01 9.8612289e-02 -8.3709268e-02        5.0000000e-01
 1 2.5000000 3.0000000 2.7500000 -8.3709268e-02 9.8612289e-02  1.1600912e-02        2.5000000e-01
 2 2.5000000 2.7500000 2.6250000 -8.3709268e-02 1.1600912e-02 -3.4919104e-02        1.2500000e-01
 3 2.6250000 2.7500000 2.6875000 -3.4919104e-02 1.1600912e-02 -1.1388607e-02        6.2500000e-02
 4 2.6875000 2.7500000 2.7187500 -1.1388607e-02 1.1600912e-02  1.7221585e-04        3.1250000e-02
 5 2.6875000 2.7187500 2.7031250 -1.1388607e-02 1.7221585e-04 -5.5914889e-03        1.5625000e-02
 6 2.7031250 2.7187500 2.7109375 -5.5914889e-03 1.7221585e-04 -2.7054840e-03        7.8125000e-03
 7 2.7109375 2.7187500 2.7148438 -2.7054840e-03 1.7221585e-04 -1.2655989e-03        3.9062500e-03
 8 2.7148438 2.7187500 2.7167969 -1.2655989e-03 1.7221585e-04 -5.4643312e-04        1.9531250e-03
 9 2.7167969 2.7187500 2.7177734 -5.4643312e-04 1.7221585e-04 -1.8704407e-04        9.7656250e-04
10 2.7177734 2.7187500 2.7182617 -1.8704407e-04 1.7221585e-04 -7.3979759e-06        4.8828125e-04
11 2.7182617 2.7187500 2.7185059 -7.3979759e-06 1.7221585e-04  8.2412972e-05        2.4414062e-04
12 2.7182617 2.7185059 2.7183838 -7.3979759e-06 8.2412972e-05  3.7508506e-05        1.2207031e-04
13 2.7182617 2.7183838 2.7183228 -7.3979759e-06 3.7508506e-05  1.5055517e-05        6.1035156e-05
14 2.7182617 2.7183228 2.7182922 -7.3979759e-06 1.5055517e-05  3.8288337e-06        3.0517578e-05
15 2.7182617 2.7182922 2.7182770 -7.3979759e-06 3.8288337e-06 -1.7845553e-06        1.5258789e-05
16 2.7182770 2.7182922 2.7182846 -1.7845553e-06 3.8288337e-06  1.0221431e-06        7.6293945e-06
17 2.7182770 2.7182846 2.7182808 -1.7845553e-06 1.0221431e-06 -3.8120511e-07        3.8146973e-06
18 2.7182808 2.7182846 2.7182827 -3.8120511e-07 1.0221431e-06  3.2046926e-07        1.9073486e-06
19 2.7182808 2.7182827 2.7182817 -3.8120511e-07 3.2046926e-07 -3.0367860e-08        9.5367432e-07
20 2.7182817 2.7182827 2.7182822 -3.0367860e-08 3.2046926e-07  1.4505072e-07        4.7683716e-07
21 2.7182817 2.7182822 2.7182820 -3.0367860e-08 1.4505072e-07  5.7341432e-08        2.3841858e-07
22 2.7182817 2.7182820 2.7182819 -3.0367860e-08 5.7341432e-08  1.3486787e-08        1.1920929e-07
23 2.7182817 2.7182819 2.7182818 -3.0367860e-08 1.3486787e-08 -8.4405362e-09        5.9604645e-08
24 2.7182818 2.7182819 2.7182818 -8.4405362e-09 1.3486787e-08  2.5231255e-09        2.9802322e-08
Giá trị nghiệm với 7 chữ số thập phân là: 2.7182818
Sai số tương đối là: 7.980232238769531e-08
 n       a_n       b_n   x_(n+1)         f(a_n)        f(b_n)     f(x_(n+1))  delta=(b-a)/2^(n+1)
 0 3.0000000 3.2000000 3.1000000 -6.8403540e-02 2.9638557e-02 -2.0583043e-02        1.0000000e-01
 1 3.1000000 3.2000000 3.1500000 -2.0583043e-02 2.9638557e-02  4.2125335e-03        5.0000000e-02
 2 3.1000000 3.1500000 3.1250000 -2.0583043e-02 4.2125335e-03 -8.2621016e-03        2.5000000e-02
 3 3.1250000 3.1500000 3.1375000 -8.2621016e-03 4.2125335e-03 -2.0442359e-03        1.2500000e-02
 4 3.1375000 3.1500000 3.1437500 -2.0442359e-03 4.2125335e-03  1.0792554e-03        6.2500000e-03
 5 3.1375000 3.1437500 3.1406250 -2.0442359e-03 1.0792554e-03 -4.8370979e-04        3.1250000e-03
 6 3.1406250 3.1437500 3.1421875 -4.8370979e-04 1.0792554e-03  2.9746744e-04        1.5625000e-03
 7 3.1406250 3.1421875 3.1414063 -4.8370979e-04 2.9746744e-04 -9.3197452e-05        7.8125000e-04
 8 3.1414063 3.1421875 3.1417969 -9.3197452e-05 2.9746744e-04  1.0211592e-04        3.9062500e-04
 9 3.1414063 3.1417969 3.1416016 -9.3197452e-05 1.0211592e-04  4.4544650e-06        1.9531250e-04
10 3.1414063 3.1416016 3.1415039 -9.3197452e-05 4.4544650e-06 -4.4372685e-05        9.7656250e-05
11 3.1415039 3.1416016 3.1415527 -4.4372685e-05 4.4544650e-06 -1.9959408e-05        4.8828125e-05
12 3.1415527 3.1416016 3.1415771 -1.9959408e-05 4.4544650e-06 -7.7525461e-06        2.4414063e-05
13 3.1415771 3.1416016 3.1415894 -7.7525461e-06 4.4544650e-06 -1.6490592e-06        1.2207031e-05
14 3.1415894 3.1416016 3.1415955 -1.6490592e-06 4.4544650e-06  1.4026983e-06        6.1035156e-06
15 3.1415894 3.1415955 3.1415924 -1.6490592e-06 1.4026983e-06 -1.2318161e-07        3.0517578e-06
16 3.1415924 3.1415955 3.1415939 -1.2318161e-07 1.4026983e-06  6.3975804e-07        1.5258789e-06
17 3.1415924 3.1415939 3.1415932 -1.2318161e-07 6.3975804e-07  2.5828814e-07        7.6293945e-07
18 3.1415924 3.1415932 3.1415928 -1.2318161e-07 2.5828814e-07  6.7553250e-08        3.8146973e-07
19 3.1415924 3.1415928 3.1415926 -1.2318161e-07 6.7553250e-08 -2.7814183e-08        1.9073486e-07
20 3.1415926 3.1415928 3.1415927 -2.7814183e-08 6.7553250e-08  1.9869532e-08        9.5367432e-08
21 3.1415926 3.1415927 3.1415926 -2.7814183e-08 1.9869532e-08 -3.9723256e-09        4.7683716e-08
Giá trị nghiệm với 7 chữ số thập phân là: 3.1415926
Sai số tương đối là: 9.768371582031254e-08
 n        a_n        b_n    x_(n+1)         f(a_n)        f(b_n)     f(x_(n+1))  delta_x=|x_(n+1)-x_n|
 0 -3.0000000 -2.0000000 -2.5000000 -9.1038322e-01 7.8897890e-01 -2.0157719e-01          2.5000000e+00
 1 -2.5000000 -2.0000000 -2.2500000 -2.0157719e-01 7.8897890e-01  3.1619502e-01          2.5000000e-01
 2 -2.5000000 -2.2500000 -2.3750000 -2.0157719e-01 3.1619502e-01  5.5412336e-02          1.2500000e-01
 3 -2.5000000 -2.3750000 -2.4375000 -2.0157719e-01 5.5412336e-02 -7.4516304e-02          6.2500000e-02
 4 -2.4375000 -2.3750000 -2.4062500 -7.4516304e-02 5.5412336e-02 -9.7911468e-03          3.1250000e-02
 5 -2.4062500 -2.3750000 -2.3906250 -9.7911468e-03 5.5412336e-02  2.2765822e-02          1.5625000e-02
 6 -2.4062500 -2.3906250 -2.3984375 -9.7911468e-03 2.2765822e-02  6.4742640e-03          7.8125000e-03
 7 -2.4062500 -2.3984375 -2.4023438 -9.7911468e-03 6.4742640e-03 -1.6619446e-03          3.9062500e-03
 8 -2.4023438 -2.3984375 -2.4003906 -1.6619446e-03 6.4742640e-03  2.4053133e-03          1.9531250e-03
 9 -2.4023438 -2.4003906 -2.4013672 -1.6619446e-03 2.4053133e-03  3.7146904e-04          9.7656250e-04
10 -2.4023438 -2.4013672 -2.4018555 -1.6619446e-03 3.7146904e-04 -6.4529206e-04          4.8828125e-04
11 -2.4018555 -2.4013672 -2.4016113 -6.4529206e-04 3.7146904e-04 -1.3692502e-04          2.4414062e-04
12 -2.4016113 -2.4013672 -2.4014893 -1.3692502e-04 3.7146904e-04  1.1726864e-04          1.2207031e-04
13 -2.4016113 -2.4014893 -2.4015503 -1.3692502e-04 1.1726864e-04 -9.8290328e-06          6.1035156e-05
14 -2.4015503 -2.4014893 -2.4015198 -9.8290328e-06 1.1726864e-04  5.3719593e-05          3.0517578e-05
15 -2.4015503 -2.4015198 -2.4015350 -9.8290328e-06 5.3719593e-05  2.1945228e-05          1.5258789e-05
16 -2.4015503 -2.4015350 -2.4015427 -9.8290328e-06 2.1945228e-05  6.0580842e-06          7.6293945e-06
17 -2.4015503 -2.4015427 -2.4015465 -9.8290328e-06 6.0580842e-06 -1.8854776e-06          3.8146973e-06
18 -2.4015465 -2.4015427 -2.4015446 -1.8854776e-06 6.0580842e-06  2.0863025e-06          1.9073486e-06
19 -2.4015465 -2.4015446 -2.4015455 -1.8854776e-06 2.0863025e-06  1.0041225e-07          9.5367432e-07
20 -2.4015465 -2.4015455 -2.4015460 -1.8854776e-06 1.0041225e-07 -8.9253272e-07          4.7683716e-07
21 -2.4015460 -2.4015455 -2.4015458 -8.9253272e-07 1.0041225e-07 -3.9606025e-07          2.3841858e-07
22 -2.4015458 -2.4015455 -2.4015456 -3.9606025e-07 1.0041225e-07 -1.4782400e-07          1.1920929e-07
